participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,15,14.0,ich,ich,0,601.0,forward,0,0.0,601.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,16,15.0,die,die,0,282.0,forward,0,0.0,282.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,17,16.0,vergiften,vergiften,0,433.0,forward,0,0.0,433.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,18,17.0,falan.,falan.,1,565.0,forward,0,0.0,565.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,1,0.0,Bir,Bir,0,952.0,forward,0,0.0,952.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,2,1.0,de,de,0,2970.0,forward,0,0.0,2970.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,3,2.0,ben,ben,0,401.0,forward,0,0.0,401.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,4,3.0,"gelirken,",gelirken%2C,0,546.0,forward,0,0.0,546.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,5,4.0,ich,ich,1,636.0,forward,0,0.0,636.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,6,5.0,hab,hab,0,376.0,forward,0,0.0,376.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,7,6.0,Dings,Dings,0,327.0,forward,0,0.0,327.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
