participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy,surprisal,surprisal_z,log_reading_time,surprisal_raw
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,11,10.0,und,und,0,432.0,forward,0,0.0,432.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,19.49726587339937,0.017478770465583004,6.068425588244111,19.49726587339937
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,12,11.0,Batterien,Batterien,0,454.0,forward,0,0.0,454.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,19.259104298484555,-0.006185640001299629,6.118097198041348,19.259104298484555
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,13,12.0,dabei,dabei,0,553.0,forward,0,0.0,553.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,12.130145496257343,-0.7145392329675079,6.315358001522335,12.130145496257343
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,14,13.0,gehabt,gehabt,0,407.0,forward,0,0.0,407.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,17.566422155607448,-0.174375344966651,6.008813185442595,17.566422155607448
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,15,14.0,ne.,ne.,0,548.0,forward,0,0.0,548.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,26.53264134805549,0.7165336582259191,6.306275286948016,26.53264134805549
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,16,15.0,Şimdi,Şimdi,1,679.0,forward,0,0.0,679.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,20.338776984071096,0.10109370432928727,6.520621127558696,20.338776984071096
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,17,16.0,tam,tam,0,502.0,forward,0,0.0,502.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,22.79801194320667,0.34545027414247753,6.218600119691729,22.79801194320667
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,18,17.0,çıkış,çıkış,0,451.0,forward,0,0.0,451.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.852634323799137,0.4502405490255164,6.111467339502679,23.852634323799137
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,19,18.0,kapısındayım.,kapısındayım.,0,1089.0,forward,0,0.0,1089.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,31.06981609833535,1.1673602270752457,6.9930151229329605,31.06981609833535
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,20,19.0,Meint,Meint,1,466.0,forward,0,0.0,466.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,27.94510321478398,0.8568798807222959,6.144185634125646,27.94510321478398
